scenario,character,condition,metric,value,validity
lost,Samantha,baseline,goal_directedness,5.0,1.0
lost,Joe,baseline,goal_directedness,5.0,1.0
lost,Samantha,baseline,social_awareness,5.0,1.0
lost,Joe,baseline,social_awareness,4.5,1.0
lost,Samantha,baseline,cognitive_flexibility,4.5,1.0
lost,Joe,baseline,cognitive_flexibility,4.5,1.0
lost,Samantha,baseline,coherence,5.0,1.0
lost,Joe,baseline,coherence,5.0,1.0
lost,Samantha,baseline,engagement,5.0,1.0
lost,Joe,baseline,engagement,5.0,1.0
lost,Samantha,baseline,complexity,4.0,1.0
lost,Joe,baseline,complexity,4.0,1.0
lost,Samantha,baseline,character_development,4.2,1.0
lost,Joe,baseline,character_development,4.2,1.0
lost,Samantha,baseline,action_effectiveness,4.5,1.0
lost,Joe,baseline,action_effectiveness,4.5,1.0
lost,Samantha,asignal,goal_directedness,5.0,1.0
lost,Joe,asignal,goal_directedness,4.5,1.0
lost,Samantha,asignal,social_awareness,4.5,1.0
lost,Joe,asignal,social_awareness,4.5,1.0
lost,Samantha,asignal,cognitive_flexibility,5.0,1.0
lost,Joe,asignal,cognitive_flexibility,4.5,1.0
lost,Samantha,asignal,coherence,5.0,1.0
lost,Joe,asignal,coherence,5.0,1.0
lost,Samantha,asignal,engagement,5.0,1.0
lost,Joe,asignal,engagement,5.0,1.0
lost,Samantha,asignal,complexity,4.0,1.0
lost,Joe,asignal,complexity,4.0,1.0
lost,Samantha,asignal,character_development,4.2,1.0
lost,Joe,asignal,character_development,4.2,1.0
lost,Samantha,asignal,action_effectiveness,4.5,1.0
lost,Joe,asignal,action_effectiveness,4.5,1.0
lost,Samantha,anarrative,goal_directedness,4.5,1.0
lost,Joe,anarrative,goal_directedness,5.0,1.0
lost,Samantha,anarrative,social_awareness,4.5,1.0
lost,Joe,anarrative,social_awareness,4.5,1.0
lost,Samantha,anarrative,cognitive_flexibility,4.0,1.0
lost,Joe,anarrative,cognitive_flexibility,4.5,1.0
lost,Samantha,anarrative,coherence,5.0,1.0
lost,Joe,anarrative,coherence,5.0,1.0
lost,Samantha,anarrative,engagement,5.0,1.0
lost,Joe,anarrative,engagement,5.0,1.0
lost,Samantha,anarrative,complexity,4.0,1.0
lost,Joe,anarrative,complexity,4.0,1.0
lost,Samantha,anarrative,character_development,4.0,1.0
lost,Joe,anarrative,character_development,4.0,1.0
lost,Samantha,anarrative,action_effectiveness,4.5,1.0
lost,Joe,anarrative,action_effectiveness,4.5,1.0
lost,Samantha,asocial,goal_directedness,5.0,1.0
lost,Joe,asocial,goal_directedness,5.0,1.0
lost,Samantha,asocial,social_awareness,4.5,1.0
lost,Joe,asocial,social_awareness,4.5,1.0
lost,Samantha,asocial,cognitive_flexibility,4.5,1.0
lost,Joe,asocial,cognitive_flexibility,4.5,1.0
lost,Samantha,asocial,coherence,5.0,1.0
lost,Joe,asocial,coherence,5.0,1.0
lost,Samantha,asocial,engagement,5.0,1.0
lost,Joe,asocial,engagement,5.0,1.0
lost,Samantha,asocial,complexity,4.0,1.0
lost,Joe,asocial,complexity,4.0,1.0
lost,Samantha,asocial,character_development,4.0,1.0
lost,Joe,asocial,character_development,4.0,1.0
lost,Samantha,asocial,action_effectiveness,4.5,1.0
lost,Joe,asocial,action_effectiveness,4.5,1.0
LaTerre,Francoise,anarrative,goal_directedness,5.0,1.0
LaTerre,Jean,anarrative,goal_directedness,5.0,1.0
LaTerre,Francoise,anarrative,social_awareness,4.5,1.0
LaTerre,Jean,anarrative,social_awareness,4.5,1.0
LaTerre,Francoise,anarrative,cognitive_flexibility,4.5,1.0
